Adv1-0;First Sunday of Advent
Adv2-0;Second Sunday of Advent
Adv3-0;Third Sunday of Advent
Adv3-3;Ember Wednesday in Advent
Adv3-5;Ember Friday in Advent
Adv3-6;Ember Saturday in Advent
Adv4-0;Fourth Sunday of Advent
Adv;Feria of Advent
Nat1-0;Sunday in the Octave of Chriatmas
Nat2-0;Most Holy Name of Jesus
Epi1-0;Holy Family
Epi2-0;2nd Sunday after Epiphany
Epi3-0;3rd Sunday after Epiphany
Epi4-0;4th Sunday after Epiphany
Epi5-0;5th Sunday after Epiphany
Epi6-0;6th Sunday after Epiphany
Quadp1-0;Septuagesima Sunday
Quadp2-0;Sexagesima Sunday
Quadp3-0;Quinquagesima Sunday
Quadp3-3;Ash Wednesday
Quadp3-4;Thursday after Ash Wednesday
Quadp3-5;Friday after Ash Wednesday
Quadp3-6;Saturday after Ash Wednesday
Quad1-0;First Sunday of Lent
Quad1-3;Ember Wednesday in Lent
Quad1-5;Ember Friday in Lent
Quad1-6;Ember Saturday in Lent
Quad2-0;Second Sunday of Lent
Quad3-0;Third Sunday of Lent
Quad4-0;Fourth Sunday of Lent
Quad;Feria of Lent
Quad5;Feria of Passiontide
Quad5-0;Passion-Sunday
Quad6-0;Palm Sunday
Quad6-1;Monday of Holy Week
Quad6-2;Tuesday of Holy Week
Quad6-3;Wednesday of Holy Week
Quad6-4;Holy Thursday
Quad6-5;Good Friday
Quad6-6;Holy Saturday
Pasc0-0;Easter Sunday
Pasc0-1;Easter Monday
Pasc0-2;Easter Tuesday
Pasc0-3;Easter Wednesday
Pasc0-4;Easter Thursday
Pasc0-5;Easter Friday
Pasc0-6;Easter Saturday
Pasc1-0;Low Sunday
Pasc;Feria in Paschaltide
Pasc2-0;Second Sunday after Easter
Pasc3-0;Third Sunday after Easter
Pasc4-0;Forth Sunday after Easter
Pasc5-0;Fifth Sunday after Easter
Pasc5-1;Rogation
Pasc5-3;Vigil of Ascencion
Pasc5-4;Ascension of the Lord
Pasc5-5;Feria after Ascension
Pasc5-6;Feria after Ascension
Pasc6-0;Sunday after Ascension
Pasc6-1;Feria after Ascension
Pasc6-2;Feria after Ascension
Pasc6-3;Feria after Ascension
Pasc6-4;Feria after Ascension
Pasc6-51;Feria after Ascension
Pasc6-6;Vigil of Pentecost
Pasc7-0;Pentecost Sunday
Pasc7-1;Pentecost Monday
Pasc7-2;Pentecost Tuesday
Pasc7-3;Ember Wednesday in the Octave of Pentecost
Pasc7-4;Pentecost Thursday
Pasc7-5;Ember Friday in the Octave of Pentecost
Pasc7-6;Ember Saturday in the Octave of Pentecost
Pent01-0;Trinity Sunday
Pent01-4;Corpus Christi
Pent02-0;2nd Sunday after Pentecost
Pent02-5;Sacread heart of Jesus
Pent03-0;3rd Sunday after Pentecost
Pent04-0;4th Sunday after Pentecost
Pent05-0;5th Sunday after Pentecost
Pent06-0;6th Sunday after Pentecost
Pent07-0;7th Sunday after Pentecost
Pent08-0;8th Sunday after Pentecost
Pent09-0;9th Sunday after Pentecost
Pent10-0;10th Sunday after Pentecost
Pent11-0;11th Sunday after Pentecost
Pent12-0;12th Sunday after Pentecost
Pent13-0;13th Sunday after Pentecost
Pent14-0;14th Sunday after Pentecost
Pent15-0;15th Sunday after Pentecost
Pent16-0;16th Sunday after Pentecost
Pent17-0;17th Sunday after Pentecost
Pent18-0;11th Sunday after Pentecost
Pent19-0;19th Sunday after Pentecost
Pent20-0;20th Sunday after Pentecost
Pent21-0;21st Sunday after Pentecost
Pent22-0;22nd Sunday after Pentecost
Pent23-0;23rd Sunday after Pentecost
Pent24-0;24th Sunday after Pentecost
PEpi3-0;Resumed 3rd Sunday after Epiphany
PEpi4-0;Resumed 4th Sunday after Epiphany
PEpi5-0;Resumed 4th Sunday after Epiphany
PEpi6-0;Resumed 6th Sunday after Epiphany
I;1st
II;2nd
III;3rd
IV;4th
V;5th
August;Sunday of August
Septembr;Sunday of September
Octobr;Sunday of October
Novembr;Sunday of November
Decembr;Sunday of December
Ember3;Ember Wednesday of September
Ember5;Ember Friday of September
Ember6;Ember Saturday of September
C10;Saturday of Our Lady
01-01;Octave of the Nativity of the Lord
01-02;Feria in Chrismastide
01-03;Feria in Chrismastide
01-04;Feria in Chrismastide
01-05;St. Telesphorus Pope and Martyr 
01-06;On the Epiphany of the Lord
01-07;Feria after Epiphany
01-08;Feria after Epiphany
01-09;Feria after Epiphany
01-10;Feria after Epiphany
01-11;St. Hyginus Pope and Martyr
01-12;Feria after Epiphany
01-13;On the the Baptism of our Lord Jesus Christ
01-14;St. Hilary Bishop, Confessor, and Doctor of the Church==St. Felix PrieSt. and Martyr
01-15;St. Paul first hermit, Confessor==St. Maurus Abbot
01-16;St. Marcellus I Pope and Martyr
01-17;St. Anthony Abbot
01-18;St. Prisca Virgin and Martyr
01-19;Ss. Marius, Martha, Audifax, and Abachum Martyrs, Comm,==St. Canute, Martyr
01-20;Ss. Fabian Pope and Sebastian Martyrs
01-21;St. Agnes, Virgin and Martyr
01-22;Ss. Vincent and Anastasius Martyrs
01-23;St. Raymund of Peñafort Confessor==St. Emerentiana Virgin and Martyr
01-24;St. Timothy Bishop and Martyr
01-25;On the Conversion of St. Paul Apostle==St. Peter Apostle
01-26;St. Polycarp Bishop and Martyr
01-27;St. John Chrysostom Bishop, Confessor, and Doctor of the Church
01-28;St. Peter Nolasco Confessor==St. Agnes, Virgin and Martyr second
01-29;St. Francis de Sales Bishop, Confessor, and Doctor of the Church
01-30;St. Martina Virgin and Martyr
01-31;St. John Bosco Confessor
02-01;St. Ignatius Bishop and Martyr
02-02;On the Purification of the Blessed Virgin Mary
02-03;St. Blase Bishop and Martyr
02-04;St. Andrew Corsini Bishop and Confessor
02-05;St. Agatha Virgin and Martyr
02-06;St. Titus Bishop and Confessor==St. Dorothy Virgin and Martyr
02-07;St. Romuald Abbot
02-08;St. John of Matha Confessor
02-09;St. Cyril Bishop of Alexandria, Confessor, and Doctor of the Church==St. Apollonia Virgin and Martyr
02-10;St. Scholastica Virgin
02-11;On the Apparition of the Blessed Virgin Mary Immaculate
02-12;The Seven Holy Founders of the Order of Servants of the Blessed Virgin Mary Confessors
02-13;Feria
02-14;St. Valentine PrieSt. and Martyr
02-15;Ss. Faustinus and Jovita Martyrs
02-16;Feria
02-17;Feria
02-18;St. Simeon Bishop and Martyr
02-19;Feria
02-20;Feria
02-21;Feria
02-22;Chair of St. Peter==St. Paul
02-23;St. Peter Damian Confessor
02-24;St. Matthias Apostle
02-25;Feria
02-26;Feria
02-27;St. Gabriel of Our Lady of Sorrows
02-28;Feria
03-01;Feria
03-02;Feria
03-03;Feria
